克格勃|克格勃|俄国及前苏联的国家安全和军事情报机构。|KGB (Committee for State Security), the main security agency for the Soviet Union.|kè gé bó|克格勃以其无孔不入的间谍活动闻名。|“克格勃”是其俄语缩写“KGB”的音译，全称为“国家安全委员会”，成立于1954年，前身是内务人民委员部等情报和安全结构，是苏联时期的主要安全和情报部门。
脚手架|腳手架|建筑施工等用来支撑工人和材料的临时设备|scaffold; scaffolding|jiǎo shǒu jià|建筑工人在脚手架上工作时需要特别小心。|“脚”意指支撑，“手”象征辅助，合起来构成“脚手架”，用以支持和辅助施工工作的结构。
眼高手低|眼高手低|形容一个人眼光高、要求高，但实际动手能力差。|high expectations but low ability; having great ambition but little skill|yǎn gāo shǒu dī|他总是批评别人，但自己做事眼高手低，一点忙也帮不上。|“眼高手低”这一成语形象地描述了眼睛看得很高，但手做起事情来却很低，源于人们日常生活中的观察与总结，形成了对能力和眼光不平衡状态的生动比喻。
拦截|攔截|阻拦并截住，使不能通过。|intercept; block|lán jié|警察在路口成功拦截了嫌疑车辆。|“拦”字由手和阑组成，本义为用手阻挡、拦住；“截”字由竹和从组成，本义为切断。组合起来则表示阻拦并截住，即不让其通过。
以卵击石|以卵擊石|比喻以弱敌强，自取灭亡。|to attempt the impossible; to try to defeat a stronger opponent and end up with self-destruction|yǐ luǎn jī shí|他的反对如同以卵击石，毫无胜算。|这个成语来源于《汉书·李陵传》，卵是鸡蛋的意思，石是石头的意思，以卵击石，就是用鸡蛋碰石头，比喻以弱敌强，必然失败。
一板一眼|一板一眼|形容言行举止有条不紊，一丝不苟。|methodical; orderly; meticulous|yī bǎn yī yǎn|他做事一板一眼，从不马虎。|原本是指音乐的板腔，后来引申为做事情有条理，有板有眼。
置身事外|置身事外|对事情采取不参与、不干涉的态度|to stay out of something; to keep out of the matter|zhì shēn shì wài|在讨论问题时，她总是选择置身事外。|从字面上理解，“置身”意为放置自己的身体，“事外”意为事情之外。该短语强调与某事保持距离或不参与的态度。这是一种经典的委婉语，通常用于描述某人对某些事情的冷漠或不干预。
殷红|殷紅|颜色深红：颜色浓郁的红色:形容血的颜色|dark red; blood red|yān hóng|天边的云霞被夕阳染得殷红。| 殷红中的“殷”来源于象形字，表示深而浓之意，“红”表示红色，组合在一起表示深红色。
闭月羞花|閉月羞花|形容女子容貌美丽，使得月亮黯然失色，花朵也感到羞愧。用来赞美女子的绝美容貌。|beauty that makes the moon hide and the flowers blush: extremely beautiful woman|bì yuè xiū huā|她的美貌如闭月羞花，让人不禁为之倾倒。|"闭月羞花"源自于古代诗文，用于形容卓文君等古代美女的容貌绝美，后来成为形容女性美貌的成语。
一无是处|一無是處|没有一点对的或好的地方。|to be good for nothing; without a single redeeming feature|yī wú shì chù|他总是批评自己一无是处，却不知道在别人眼里他其实很优秀。|在汉语中，“一无是处”由“一”、“无”、“是”、“处”四个字组成，其中“一”指完全，“无”指没有，“是”是对的意思，“处”是地方。整个成语可以理解为完全没有对的地方。这一表达反映了一个人或事物毫无优点的状态。
颓丧|頹喪|意志消沉，精神不振的样子。|depressed; dispirited; dejected|tuí sàng|他面对失败显得很颓丧。|“颓”字来源于壞、破的意思，“丧”指失去，合在一起表示精神状态的萎靡和失去活力。
青黄不接|青黃不接|农作物尚未成熟，陈粮已吃用殆尽；比喻物资或人手暂时短缺。|the crops are not yet ripe and the old grain is exhausted; temporary shortage of resources or personnel|qīng huáng bù jiē|由于市场的变化，公司目前正在经历青黄不接的时期。|该成语源自农业，用以描述在旧的粮食储备用尽而新的收成尚未到来的情况下，农民面临的困难。后来引申为形容各种资源的短缺。
旁敲侧击|旁敲側擊|以不直接说明的方法来暗示或表达自己的意思。|to hint indirectly; to suggest obliquely; to insinuate|páng qiāo cè jī|他总是喜欢用旁敲侧击的方式表达不满。|“旁敲侧击”这个成语最早出自于宋代朱熹的《朱子语类》，其本义是用不正面的方式敲打，以达到间接表达的目的。
不折不扣|不折不扣|形容做事认真，不打折扣，完完全全。|thorough; without compromise; one hundred percent|bù zhé bù kòu|他的工作态度总是不折不扣地认真负责。|“不折不扣”原意是商店卖货不打折扣，现比喻完全、彻底，不打折扣。
不亦乐乎|不亦樂乎|用于形容极度开心、快乐的状态。|extremely happy; delighted; as happy as one could be|bù yì lè hū|他们在节日聚会上唱歌跳舞，不亦乐乎。|出自《论语》，原句为“有朋自远方来，不亦乐乎？”这里的“不亦乐乎”表达了因朋友的到来而感到极大的快乐。
跋涉|跋涉|长途跋涉，形容旅途劳累，走远路特别辛苦。|trudge; trek; long and difficult journey|bá shè|我们在沙漠中跋涉了许多天。|“跋”字的本义是用脚走路，跋山涉水，形容翻过山岭，涉过江河，走过长途艰难的路程；“涉”本义为脚踏水，后引申为经历、经过。在词语“跋涉”中，两字合用形容长途辛苦的旅程。
杀一儆百|殺一儆百|通过惩罚一个人以警示其他人|kill one as a warning to a hundred; make an example|shā yī jǐng bǎi|为了整顿纪律，他决定杀一儆百。|此成语中的“儆”同“警”，意思是警戒、警示。源自中国古代刑法，一种通过严厉惩罚小部分人来震慑大多数人的方法。
循循善诱|循循善誘|有步骤地引导、启发别人，使其认识或领会某一事理。|to guide patiently with skillful instruction; to lead by tactful advice|xún xún shàn yòu|老师总是循循善诱地帮助学生理解复杂的概念。|“循”表示按照一定的顺序或规律行事；“善”意为好的，巧妙的；“诱”意为引导。因此“循循善诱”指根据对方的情况，耐心地一步步引导启发。
寿终正寝|壽終正寢|人活到寿命结束，在家中自然死亡。|to die a natural death at home|shòu zhōng zhèng qǐn|他八十多岁，高寿终正寝。|“寿终正寝”语出《周礼·地官·司里》：“夫致老，人皆为之寿，终乃以正寝葬焉。”古时讲究死于正屋，多指上岁数人死在家中，后用作自然死亡之意。
漫不经心|漫不經心|形容做事随便马虎，注意力不集中。|careless; absent-minded; inattentive|màn bù jīng xīn|他上课时总是显得漫不经心，结果考试成绩很差。|“漫”原指水流漫过，后引申为随便、散漫；“不经心”意指不放在心上，不专心。成语用来描述人的注意力不集中，做事情马虎随意。
猖獗|猖獗|形容狂妄而放肆，处于失控状态|rampant; unchecked|chāng jué|疫情在全球范围内变得越来越猖獗。|“猖”指狂妄不羁，起初用于形容一种无拘无束的态度；“獗”指跳跃或扰乱，后来多用于形容势不可挡或失去控制的状态。
开门见山|開門見山|直截了当，不绕弯子|straightforward; direct|get straight to the point|kāi mén jiàn shān|他开门见山地告诉我们会议的目的。|这一成语来源于佛教禅宗中“直指人心”修行方法，意为进入寺庙后直接看到山峰，象征快速直观获得真谛。
